Genes,M_Log2FC,S_Log2FC,GB_log2FC,GBT-Log2fc,Sham_C-1 Counts,Sham_C-2 Counts,Sham_C-3 Counts,TT_Treatment-1 Counts,TT_Treatment-2 Counts,TT_Treatment-3 Counts,GBT-P-adj,MSG_Regulated,Control_GB-TT-Exp,Glioblastoma_TT-Exp,GB-TT-Regulated,GBT-UP,GBT-DOWN,GeneID
Slfn4,12.92505927,4.04731456,5.766341558,3.966404282,3.900836138,3.61404155,2.675968232,37.31618585,75.6991966,47.99519706,6.82E-08,1,0,1,1,1,0,ENSMUSG00000000204
Il7r,1.364031259,2.281478911,4.161530406,3.902566805,9.752090345,9.035103875,8.027904695,140.5576334,163.4780522,100.0577837,1.55E-18,1,0,1,1,1,0,ENSMUSG00000003882
Mcemp1,4.471429629,3.739435552,3.822763933,3.303217091,3.900836138,3.61404155,2.675968232,41.04780444,38.6549089,22.77738166,9.96E-05,1,0,1,1,1,0,ENSMUSG00000013974
Gpr132,3.742518112,2.584299548,4.619553714,4.310849642,5.851254207,0,0,53.48653306,51.53987854,13.82912458,0.073706953,1,0,1,0,0,0,ENSMUSG00000021298
Acod1,13.24113492,4.999903193,7.174750655,6.762369671,1.950418069,0,0,90.80271891,111.1328631,23.59085957,3.39E-07,1,0,1,1,1,0,ENSMUSG00000022126
Vdr,5.911459273,2.41687846,3.871264154,3.177197922,8.77688131,3.61404155,1.337984116,33.58456727,75.6991966,18.70999208,0.000283992,1,0,1,1,1,0,ENSMUSG00000022479
Mefv,3.938557792,3.574500823,5.789622267,4.963364377,0,2.710531163,0,22.38971151,57.98236336,13.82912458,0.00022011,1,0,1,1,1,0,ENSMUSG00000022534
Ms4a4c,6.417517156,3.254710994,5.241037515,4.520759793,16.57855359,8.131593488,0,184.0931835,263.3365669,129.3429887,0.000492231,1,0,1,1,1,0,ENSMUSG00000024675
Il6,13.03415392,5.783562555,5.04525822,2.717991968,0,0,4.013952347,6.219364309,12.07965903,4.880867498,0.334989414,1,0,0,0,0,0,ENSMUSG00000025746
Gpr35,2.387707872,3.731081842,3.652962199,2.595886042,5.851254207,13.55265581,10.70387293,60.94977023,78.92043901,42.30085165,9.62E-06,1,0,1,1,1,0,ENSMUSG00000026271
Ifi211,5.573965129,1.88695737,4.692339802,3.914565773,14.62813552,9.035103875,5.351936463,138.0698877,217.4338626,92.73648246,1.10E-16,1,0,1,1,1,0,ENSMUSG00000026536
Il1rn,7.623690584,4.351296596,9.752318853,8.309935853,0.975209034,0,0,115.6801761,195.6904763,48.80867498,4.56E-09,1,0,1,1,1,0,ENSMUSG00000026981
Il1b,5.843132106,4.322203673,5.820949093,4.156418173,4.876045172,0,9.36588881,57.21815164,157.0355674,33.35259457,0.016577878,1,0,1,1,1,0,ENSMUSG00000027398
Clec4e,7.606940957,4.327719518,6.754074116,6.527228323,0,0.903510388,1.337984116,75.87624457,89.38947684,28.47172707,6.22E-07,1,0,1,1,1,0,ENSMUSG00000030142
Klra2,5.25197192,2.897639166,4.376002752,4.036877974,26.33064393,7.2280831,6.689920579,269.920411,280.2480896,116.327342,1.80E-06,1,0,1,1,1,0,ENSMUSG00000030187
F10,5.594922535,2.944033677,6.250449169,5.798848261,0,1.807020775,4.013952347,89.55884605,183.6108173,33.35259457,2.34E-05,1,0,1,1,1,0,ENSMUSG00000031444
Oas3,7.350248788,2.730354772,4.521007278,3.346823685,9.752090345,17.16669736,4.013952347,100.7537018,157.840878,68.33214497,1.01E-10,1,0,1,1,1,0,ENSMUSG00000032661
Adgre4,3.368515417,2.991717372,2.922256183,1.522340095,13.65292648,11.74563504,0,21.14583865,32.21242409,21.96390374,0.252657652,1,0,1,0,0,0,ENSMUSG00000032915
AA467197,8.84755757,3.727716472,7.463322248,6.548861594,0.975209034,1.807020775,0,124.3872862,128.8496963,36.60650624,8.80E-10,1,0,1,1,1,0,ENSMUSG00000033213
Ccl5,3.032139192,2.011864034,5.127543832,5.02355263,3.900836138,2.710531163,2.675968232,119.4117947,117.5753479,68.33214497,1.09E-14,1,0,1,1,1,0,ENSMUSG00000035042
Ifi206,1.458190391,2.800593958,5.098973164,4.074748452,14.62813552,7.2280831,2.675968232,104.4853204,229.5135216,93.54996038,8.48E-15,1,0,1,1,1,0,ENSMUSG00000037849
Ccr7,2.903867563,2.076225279,5.976257239,5.59965776,1.950418069,2.710531163,0,98.26595608,104.6903783,46.36824123,6.80E-11,1,0,1,1,1,0,ENSMUSG00000037944
Trem1,5.966124779,4.850433207,6.384576496,4.53108107,0,0,0,3.731618585,5.637174215,4.067389582,NA,1,0,0,0,0,0,ENSMUSG00000042265
Trem6l,4.205538625,2.685290313,2.993764536,2.384579123,3.900836138,8.131593488,2.675968232,24.87745724,39.46021951,14.64260249,0.017245345,1,0,1,1,1,0,ENSMUSG00000043740
Tlr1,2.229040398,1.524474357,2.798295208,1.965592261,16.57855359,13.55265581,6.689920579,47.26716875,47.51332553,52.06258665,0.001318679,1,0,1,1,1,0,ENSMUSG00000044827
Cd300lf,5.382836115,2.616660259,5.283459083,4.202580889,6.826463241,9.938614263,14.71782527,194.0441664,282.6640214,89.4825708,1.36E-18,1,0,1,1,1,0,ENSMUSG00000047798
Gpr55,2.713916181,2.316742149,4.451173079,1.162328828,9.752090345,2.710531163,12.04185704,19.90196579,24.15931807,9.761734996,0.533716005,1,0,0,0,0,0,ENSMUSG00000049608
Mmp12,1.823344885,3.346332412,4.036011867,2.648125059,7.801672276,10.84212465,0,26.1213301,67.64609058,28.47172707,0.002520619,1,0,1,1,1,0,ENSMUSG00000049723
Treml4,3.46408365,3.119556484,2.971886844,1.435970897,3.900836138,9.938614263,4.013952347,12.43872862,11.27434843,25.21781541,0.389032881,1,0,1,0,0,0,ENSMUSG00000051682
Cd177,4.170061912,2.653511529,5.601941909,3.993940438,0,0,1.337984116,2.487745724,4.831863613,10.57521291,0.191266943,1,0,0,0,0,0,ENSMUSG00000052212
Trim30b,7.035342896,3.182395699,3.017712947,2.09279946,5.851254207,7.2280831,6.689920579,28.60907582,34.62835589,21.15042583,0.015313814,1,0,1,1,1,0,ENSMUSG00000052749
Gpr141,5.544773972,2.445430701,5.064501429,4.333559425,11.70250841,11.74563504,5.351936463,166.6789635,345.4782483,82.97474747,3.51E-17,1,0,1,1,1,0,ENSMUSG00000053101
Il2rb,1.849781188,1.401331349,4.473823211,4.305272341,8.77688131,12.64914543,8.027904695,208.9706408,273.8056047,109.0060408,5.25E-22,1,0,1,1,1,0,ENSMUSG00000068227
Runx3,2.246053876,3.343069184,4.849371848,3.83710676,3.900836138,5.421062325,4.013952347,70.90075312,78.92043901,43.11432957,3.02E-09,1,0,1,1,1,0,ENSMUSG00000070691
Treml2,3.474196607,1.564119833,3.101619797,2.39709416,7.801672276,16.26318698,8.027904695,43.53555016,76.50450721,51.24910873,6.30E-05,1,0,1,1,1,0,ENSMUSG00000071068
I830077J02Rik,1.687621473,2.061485164,2.883149477,1.878189524,4.876045172,13.55265581,12.04185704,31.09682154,49.92925734,30.0986829,0.015766325,1,0,1,1,1,0,ENSMUSG00000074342
Sirpb1c,2.51700801,3.656633196,7.404540048,6.325672373,0,0,0,18.65809293,25.76993927,2.440433749,0.001103277,1,0,0,1,1,0,ENSMUSG00000074677
Slfn1,6.842925991,3.743153542,6.439692949,5.744841009,5.851254207,3.61404155,1.337984116,185.3370564,298.7702334,123.6486433,3.48E-23,1,0,1,1,1,0,ENSMUSG00000078763
4930430E12Rik,5.194909249,2.880110471,7.007995264,5.763621847,0,0,0,14.92647434,12.07965903,4.880867498,0.005288825,1,0,0,1,1,0,ENSMUSG00000085295
Slfnlnc,2.118459485,2.364419441,5.43983856,3.210939129,10.72729938,11.74563504,4.013952347,84.5833546,76.50450721,93.54996038,1.04E-10,1,0,1,1,1,0,ENSMUSG00000087107
2700038G22Rik,2.00531923,1.870644456,3.910880016,2.089017203,7.801672276,6.324572713,12.04185704,22.38971151,42.68146192,43.11432957,0.00618328,1,0,1,1,1,0,ENSMUSG00000097180
9530053H05Rik,1.893430925,2.151001333,3.505768604,2.812231648,2.925627103,3.61404155,4.013952347,31.09682154,25.76993927,17.08303624,0.004118905,1,0,1,1,1,0,ENSMUSG00000141856